AREA_NAME,DISTRICT_NAME,LOCALE_NAME,ADDRESS,CITY,STATE,ZIP_CODE,LOG_REGION_NAME,LOG_DIVISION_NAME,PROC_REGION_NAME,PROC_DIVISION_NAME,Status,Incident_Type,Comment,LAST_EDITED_DATE,LAST_EDITED_USER,x,y
CENTRAL (J),MN-ND,MAX,211 MAIN ST,MAX,ND,58759,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"11/16/2022, 7:58 PM",QQWFR0,-11276003.0683,6077212.324500002
CENTRAL (J),MN-ND,JUD,524 LOGIE ST,JUD,ND,58454,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11009207.0956,5864902.483800001
CENTRAL (J),MN-ND,KRAMER,175 MAIN ST,KRAMER,ND,58748,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11210657.5253,6222515.380800001
CENTRAL (J),MN-ND,NEW LEIPZIG,115 MAIN AVE,NEW LEIPZIG,ND,58562,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11348800.004,5840565.4641999975
CENTRAL (J),MN-ND,LINTON,115 NW 1ST ST,LINTON,ND,58552,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-11158003.1835,5823359.206600003
CENTRAL (J),MN-ND,MCHENRY,322 JOHNSTON ST,MCHENRY,ND,58464,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-10975152.9049,6036707.294500001
CENTRAL (J),MN-ND,LEHR,200 MAIN ST S,LEHR,ND,58460,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-11059959.4325,5825667.575599998
CENTRAL (J),MN-ND,MICHIGAN,105 1ST ST E STE 4,MICHIGAN,ND,58259,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10922922.4677,6110895.778499998
CENTRAL (J),MN-ND,LANKIN,301 MAIN ST,LANKIN,ND,58250,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-10900809.8527,6159202.917800002
CENTRAL (J),MN-ND,NOONAN,209 S MAIN ST,NOONAN,ND,58765,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11466863.2295,6256151.235799998
CENTRAL (J),MN-ND,LEONARD,406 RAILROAD AVE S,LEONARD,ND,58052,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"2/24/2023, 11:11 PM",QQWFR0,-10825340.6926,5885303.014300004
CENTRAL (J),MN-ND,MANDAREE,201 MAIN ST,MANDAREE,ND,58757,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11429526.227,6061845.8904
CENTRAL (J),MN-ND,LANSFORD,706 MAIN ST,LANSFORD,ND,58750,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-11285152.8625,6212135.065099999
CENTRAL (J),MN-ND,LAKOTA,209 MAIN ST N,LAKOTA,ND,58344,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-10947631.7211,6113794.535499997
CENTRAL (J),MN-ND,KARLSRUHE,101 MAIN ST N,KARLSRUHE,ND,58744,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/28/2022, 9:49 AM",QQWFR0,-11200849.3876,6122192.5264
CENTRAL (J),MN-ND,LANGDON,323 8TH AVE,LANGDON,ND,58249,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-10950437.3063,6234301.2808
CENTRAL (J),MN-ND,KILLDEER,48 CENTRAL AVE S,KILLDEER,ND,58640,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/28/2022, 9:49 AM",QQWFR0,-11438224.2868,6002617.674999997
CENTRAL (J),MN-ND,MANVEL,502 OLDHAM AVE,MANVEL,ND,58256,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10817694.1568,6119440.709399998
CENTRAL (J),MN-ND,GRAFTON,506 GRIGGS AVE,GRAFTON,ND,58237,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:06 AM",QQWFR0,-10843882.9576,6176905.454099998
CENTRAL (J),MN-ND,MERCER,101 MAIN ST,MERCER,ND,58559,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11211215.6812,6022350.899899997
CENTRAL (J),MN-ND,HAMILTON,402 PAGE AVE STE A,HAMILTON,ND,58238,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/16/2022, 9:53 AM",QQWFR0,-10848007.6787,6242418.434699997
CENTRAL (J),MN-ND,LARIMORE,208 E FRONT ST,LARIMORE,ND,58251,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-10867194.2608,6090987.197499998
CENTRAL (J),MN-ND,KINDRED,472 ELM ST,KINDRED,ND,58051,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/15/2022, 1:55 AM",QQWFR0,-10800040.6667,5884877.6543999985
CENTRAL (J),MN-ND,KENMARE,22 2ND ST NW,KENMARE,ND,58746,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-11363890.1402,6219511.532499999
CENTRAL (J),MN-ND,PARK RIVER,309 BRIGGS AVE S,PARK RIVER,ND,58270,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10880744.1806,6172915.030500002
CENTRAL (J),MN-ND,PORTLAND,629 PARKE AVE,PORTLAND,ND,58274,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:09 AM",QQWFR0,-10839304.053,6023792.1734
CENTRAL (J),MN-ND,NECHE,434 MAIN AVE,NECHE,ND,58265,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-10859263.415,6271885.916500002
CENTRAL (J),MN-ND,SAINT JOHN,101 FOUSSARD AVE SE,SAINT JOHN,ND,58369,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11099739.5639,6265425.209600002
CENTRAL (J),MN-ND,NAPOLEON,104 BROADWAY,NAPOLEON,ND,58561,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11106211.3451,5861072.545599997
CENTRAL (J),MN-ND,NEW SALEM,110 N 4TH ST,NEW SALEM,ND,58563,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11289088.1178,5916574.571099997
CENTRAL (J),MN-ND,MOORETON,105 MOORETON AVE S,MOORETON,ND,58061,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"2/24/2023, 11:11 PM",QQWFR0,-10784218.7161,5823417.3391999975
CENTRAL (J),MN-ND,LIGNITE,202 MAIN ST,LIGNITE,ND,58752,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:07 AM",QQWFR0,-11417332.624,6254052.463200003
CENTRAL (J),MN-ND,NEW ROCKFORD,827 1ST AVE N,NEW ROCKFORD,ND,58356,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:08 AM",QQWFR0,-11036148.4161,6053934.010899998
